batchsize,depth,entangler_operation,have_less_rotations,input_activation_function,is_data_encoding_hardware_efficient,learning_rate,map_type,output_circuit,use_reuploading,dataset,task_id,val_binary_accuracy,val_auc
16,1,cz,False,tanh,False,0.01460371429889654,ring,mZ,False,diabetes,37,0.6680280208587647,0.5618546962738037
16,1,cz,False,tanh,False,0.04413186085387862,pairs,mZ,True,diabetes,37,0.6575871467590332,0.5475441664457321
16,1,cz,False,tanh,False,0.050534897598003455,full,mZ,False,blood-transfusion-service-center,10101,0.7567207276821136,0.5423346012830734
16,1,cz,False,tanh,False,0.059352759056627104,ring,mZ,True,wilt,146820,0.9086605846881867,0.5050474524497985
16,1,cz,False,tanh,False,0.11340980365771508,ring,2Z,True,ilpd,9971,0.7205727696418762,0.7087418735027313
16,1,cz,False,tanh,False,0.2593095941390895,pairs,2Z,True,diabetes,37,0.6731032192707062,0.6551182210445404
16,1,cz,False,tanh,True,0.0018098498396509478,pairs,2Z,True,blood-transfusion-service-center,10101,0.7620540499687195,0.7284141719341278
16,1,cz,False,tanh,True,0.0023739991331663966,ring,mZ,True,phoneme,9952,0.7307578563690186,0.7534236967563629
16,1,cz,False,tanh,True,0.0024780678432169334,ring,2Z,False,phoneme,9952,0.76573047041893,0.8121396243572235
16,1,cz,False,tanh,True,0.00248035413827895,full,2Z,True,wilt,146820,0.9644581079483032,0.9262312769889831
16,1,cz,False,tanh,True,0.010464638483311917,pairs,2Z,False,blood-transfusion-service-center,10101,0.7634054005146027,0.7443699181079865
16,1,cz,False,tanh,True,0.04671807088096404,pairs,mZ,True,ilpd,9971,0.7169491410255432,0.7248417913913727
16,1,cz,False,tanh,True,0.09929888062536704,pairs,2Z,False,banknote-authentication,10093,0.8841320216655731,0.9646901071071625
16,1,cz,False,tanh,True,0.10833236190855577,full,2Z,True,blood-transfusion-service-center,10101,0.7620540499687195,0.7287094295024872
16,1,cz,False,tanh,True,0.22573318560052918,ring,2Z,True,wilt,146820,0.9460632801055908,0.6750193327665329
16,1,cz,False,tanh,True,0.3234352837145348,full,2Z,False,phoneme,9952,0.4834189057350159,0.692239248752594
16,1,cz,False,tanh,True,0.36275254746656893,pairs,mZ,True,ilpd,9971,0.7152834475040436,0.6791376292705535
16,1,cz,True,linear,False,0.00016003954652815344,full,mZ,True,breast-w,15,0.6566459774971009,0.6750214219093322
16,1,cz,True,linear,False,0.00020615707972866968,full,mZ,False,phoneme,9952,0.707995480298996,0.6320282340049743
16,1,cz,True,linear,False,0.00026658548174886797,ring,mZ,True,phoneme,9952,0.7065140008926392,0.5476313769817353
16,1,cz,True,linear,False,0.00026804869112017097,full,mZ,True,ilpd,9971,0.7118351757526398,0.5223347753286361
16,1,cz,True,linear,False,0.0008593375682422977,pairs,mZ,False,diabetes,37,0.6523581624031067,0.5093803495168686
16,1,cz,True,linear,False,0.002418817595118542,full,2Z,True,wilt,146820,0.932425606250763,0.5872151672840118
16,1,cz,True,linear,False,0.0024611874540553047,pairs,mZ,True,blood-transfusion-service-center,10101,0.7620360314846039,0.5751576721668243
16,1,cz,True,linear,False,0.0033344210450696214,ring,mZ,False,diabetes,37,0.6523581624031067,0.5220042824745178
16,1,cz,True,linear,False,0.0572310261930581,ring,mZ,False,banknote-authentication,10093,0.6362953603267669,0.6384862005710602
16,1,cz,True,linear,False,0.08639646749538454,full,mZ,True,banknote-authentication,10093,0.6574791073799133,0.7304253518581391
16,1,cz,True,linear,False,0.1187952027345646,ring,mZ,True,phoneme,9952,0.7068843722343445,0.5557236731052398
16,1,cz,True,linear,False,0.27952769309095615,full,2Z,False,breast-w,15,0.7496480345726013,0.8721090495586395
16,1,cz,True,linear,False,0.29135398034404936,pairs,2Z,False,ilpd,9971,0.6793103456497193,0.5302397310733795
16,1,cz,True,linear,False,0.49961235922202396,ring,mZ,True,diabetes,37,0.6549726545810699,0.5466239303350449
16,1,cz,True,linear,True,0.00013101402825079915,full,mZ,False,diabetes,37,0.6510594606399536,0.5692122489213943
16,1,cz,True,linear,True,0.00031904357317140284,full,2Z,False,phoneme,9952,0.750557953119278,0.8353048503398895
16,1,cz,True,linear,True,0.00039861277303379454,ring,2Z,False,banknote-authentication,10093,0.7691050469875336,0.8737843573093415
16,1,cz,True,linear,True,0.0012775963992847658,full,2Z,False,ilpd,9971,0.7135593116283416,0.6923672676086425
16,1,cz,True,linear,True,0.002057624637966518,pairs,mZ,False,breast-w,15,0.6938923358917236,0.8924662292003631
16,1,cz,True,linear,True,0.004041225858086908,full,2Z,True,wilt,146820,0.9460632801055908,0.7200611889362335
16,1,cz,True,linear,True,0.004183835428462925,full,mZ,False,blood-transfusion-service-center,10101,0.760720717906952,0.636498111486435
16,1,cz,True,linear,True,0.013401746868027612,pairs,2Z,True,banknote-authentication,10093,0.6151433408260345,0.7126515448093415
16,1,cz,True,linear,True,0.014326813714492653,pairs,2Z,True,breast-w,15,0.8955693483352661,0.9218110263347625
16,1,cz,True,linear,True,0.03742997263692716,full,2Z,True,wilt,146820,0.9460632801055908,0.7161411464214325
16,1,cz,True,linear,True,0.05159852726681184,pairs,mZ,False,wilt,146820,0.8704267382621765,0.3595268756151199
16,1,cz,True,linear,True,0.10748557280942247,full,2Z,False,blood-transfusion-service-center,10101,0.7647207140922546,0.7306329488754273
16,1,cz,True,linear,True,0.16858652960985052,pairs,mZ,False,wilt,146820,0.8836455881595612,0.3959270536899567
16,1,cz,True,linear,True,0.1759362272556118,full,mZ,True,phoneme,9952,0.6796727538108825,0.6425241768360138
16,1,cz,True,linear,True,0.2574806564572292,ring,mZ,False,banknote-authentication,10093,0.732534646987915,0.8515691697597504
16,1,cz,True,linear,True,0.4832866210764349,ring,mZ,True,phoneme,9952,0.6752505660057068,0.5826373875141144
16,1,cz,True,tanh,False,0.00011262273601993934,ring,2Z,False,ilpd,9971,0.7135593116283416,0.48959956467151644
16,1,cz,True,tanh,False,0.00015182537090154758,full,mZ,True,diabetes,37,0.6510594606399536,0.5199757784605026
16,1,cz,True,tanh,False,0.00020719348638207418,full,mZ,True,phoneme,9952,0.7074378728866577,0.6371461927890778
16,1,cz,True,tanh,False,0.0002348753000191778,pairs,mZ,True,ilpd,9971,0.7135593116283416,0.49192755222320556
16,1,cz,True,tanh,False,0.0003208517620529431,full,mZ,False,diabetes,37,0.6510594606399536,0.5473233729600906
16,1,cz,True,tanh,False,0.0019161890037138161,full,mZ,False,blood-transfusion-service-center,10101,0.7620540499687195,0.4777319073677063
16,1,cz,True,tanh,False,0.005613090626078412,ring,2Z,True,phoneme,9952,0.7033812582492829,0.6817949473857879
16,1,cz,True,tanh,False,0.006405453383501535,full,2Z,False,wilt,146820,0.8875785112380982,0.5988062679767608
16,1,cz,True,tanh,False,0.008943982477758386,pairs,2Z,False,ilpd,9971,0.7135593116283416,0.5261768162250519
16,1,cz,True,tanh,False,0.009043801538297806,pairs,2Z,False,breast-w,15,0.8497929573059082,0.9575169503688812
16,1,cz,True,tanh,False,0.009931246833881155,ring,mZ,False,blood-transfusion-service-center,10101,0.7633873879909515,0.513040366768837
